,Datetime,Text,TweetID,username
0,2020-06-23 23:59:56+00:00,- investigations of his death are continuing as it’s been stated that suicide was not the main reason for his death. Being from a background with no support to only enter a vicious industry is a recipe for death -,1275579373899440128,leylaa_889
1,2020-06-23 23:58:40+00:00,"- anyways, Sushant eventually committed ‘suicide’ but his family have said its not suicide, it’s murder; which happens a lot in Bollywood (search Jiah Khan’s murder, it wa covered by @BeingSalmanKhan, can’t say I’m shocked SMH) -",1275579055144869892,leylaa_889
2,2020-06-23 23:58:27+00:00,Just curious.. What happend to his health in Nov 2019. Was he suffering from depression?,1275579000153309185,jsm1245
3,2020-06-23 23:58:24+00:00,Still my heart is not believing the demise of #SushantSinghRajput ... #RIPSushantSinghRajput #missyou4ever,1275578988337876992,Its__IPS
4,2020-06-23 23:58:02+00:00,BJP MP Manoj Tiwari Demands CBI Inquiry Into Sushant Singh Rajput’s Suicide Case ,1275578896981909504,janki_awaaz
5,2020-06-23 23:57:29+00:00,What happened to his health in Nov 2019. Was he depressed?,1275578755977809927,jsm1245
6,2020-06-23 23:57:09+00:00,#SushantSinghRajput this is not the first time that this has happened and it will not be the last because the ones with power always win in this industry but we need to keep trying to the fullest for justice for Sushant. Do not forget what happened with sridevi.,1275578673886707712,PamBangar
7,2020-06-23 23:56:49+00:00,"- it’s important to rant and raise awareness about nepotism and the elite controlling Bollywood, especially by @BeingSalmanKhan because SO MANY actors have been boycotted by Bollywood for not following the elites rules and not being connected -",1275578589963051008,leylaa_889
8,2020-06-23 23:56:35+00:00,best movie @itsSSR #SushantSinghRajput #SushantSingh #SushantSinghRajput ,1275578532479946754,RositaAwalia91
9,2020-06-23 23:56:22+00:00,Honest to god #Bollywood does not even remotely qualify to be called a fraternity anymore. A fraternity is when people KNOW each other enough to provide support when it is most required. This is a massive let down. Massive. #SushantSinghRajput :(,1275578477329014784,thenycgirl
10,2020-06-23 23:55:52+00:00,#SalmanKhan #salmankhan_bollywood_ka_gunda #salmankhancriminal #boycottbollywood #BoycottBollywoodNepotism #SushantSinghRajput #CBIEnquiryForSushant #SushantSingh ,1275578350287781888,Sartaz_Abd17
11,2020-06-23 23:55:28+00:00,"- the elite group is very small, you’re not posing next to Kendal fucking Jenner If people don’t know you. Sushant was being boycotted because he had no godfather to support him nor did he have any of his fellow actors support -",1275578248999600129,leylaa_889
12,2020-06-23 23:55:13+00:00,Honest to god #Bollywood does not even remotely qualify to be called a fraternity anymore. A fraternity is when people KNOW each other enough to provide support when it is most required. This is a massive let down. Massive. #SushantSinghRajput :(,1275578188341501952,thenycgirl
13,2020-06-23 23:54:17+00:00,Sushant Singh Rajput had way more talent than all the star kids combined. #Bollywood #BoycottKaranJoharGang #boycottsalmankhan #SushantSinghRajput ,1275577952827174913,greysky000
14,2020-06-23 23:53:47+00:00,3 suspects Mahesh Bh@tt via supari (recall son is friend of David Hadley) Rhea Chokr@b@rty Her br@ther #Homicide of #SushantSinghRajput ,1275577824057966593,UnchaTiranga
15,2020-06-23 23:53:34+00:00,#boycottsalmankhan #boycottkaranjohar #AliaBhatt #MaheshBhatt #Sonamkapoor boycott the culprits of Sushant singh Rajput #justiceforSushantsinghrajput,1275577773122183168,Nihal17177248
16,2020-06-23 23:53:14+00:00,"Sushant Singh Rajput: Boycott Karan Johar, YRF films, Salman Khan - Tandatangani Petisi! http://chng.it/8wxjcJZd via @ChangeOrg_ID",1275577686610415616,DienaThelady
17,2020-06-23 23:52:27+00:00,"- @sonamakapoor appeared on @karanjohar tv show ‘koffee with Karan’ and when asked about Sushant, she said she doesn’t know who he is. Sushant was featured in Indian Vogue with Kendal Jenner. The only Indian actor to star next to a world famous model - ",1275577491881680897,leylaa_889
18,2020-06-23 23:52:10+00:00,"आमिरच्या PK मध्ये सुशांतनं या कारणासाठी साकारली होती छोटीशी भूमिका know-why-sushant-singh-rajput-did-a-small-role-in-the-film-pk | News – News18 Lokmat, Today’s Latest Marathi News ",1275577418615586816,headlin54003035
19,2020-06-23 23:52:02+00:00,The Mumbai police investigating the dying of actor Sushant Singh Rajput have summoned three extra individuals to ,1275577384847040512,thesundaystreet
20,2020-06-23 23:51:40+00:00,We are sorry. :(,1275577295554646017,kashishhhbansal
21,2020-06-23 23:51:27+00:00,https://youtu.be/GhwqV4oTdpo See the story of khan families egoistic gundanism in bollywood &amp; connection of murder of Sushant Singh Rajput!!,1275577237979291648,krish_kanyal
22,2020-06-23 23:51:21+00:00,"#SalmanKhan was an #Ulcer, which has now become a #Cancer. Treat the Ulcer at right time to save yourself from cancer. @BeingSalmanKhan @itsSSR #SushantSinghRajput",1275577214579306496,AvailableGenius
23,2020-06-23 23:51:08+00:00,"Unable to get over this loss #SushantSinghRajput , dearest Sush, just 2 weeks back I was talking about you to a friend, on how you made the elusive jump from TV to Celluloid. Why? Why Sushant? Please come back. #Sushant",1275577157855502336,thenycgirl
24,2020-06-23 23:50:12+00:00,There were many reasons why he was disliked. One of them being his intellect. They felt threatened by his talent. #SushantSinghRajput,1275576925906522115,anayrahumi
25,2020-06-23 23:50:09+00:00,#BeFairInSSRMurderCase #WeWantCBIenquiryforSushant #JusticeForStudents #FIRForSushantUnder302 #ArrestMurdererOfSushant @ZeeNewsEnglish,1275576910299291648,puja_ma
26,2020-06-23 23:49:19+00:00,"- did not want releasing. From this, top Bollywood started boycotting including @aliaa08 who refused to star with him in any films because he was a ‘poor villager’ and there were better actors (all through nepotism) who she could work with -",1275576702089990147,leylaa_889
27,2020-06-23 23:48:48+00:00,Jiah Khan case me #CBI was involved bt wht hppnd? Nothin! Indian system is completely corrupt.Paise waalo ke living room me bikta hai yeh system. Bt I mst say this time we've social media power.Pls use it as a tool to reveal the truth #SushantSinghRajput #ConsiderSSRMurderProofs,1275576573890985984,cuteluvrehal
28,2020-06-23 23:47:36+00:00,Yes. #SushantSinghRajput #FIRForSushantUnder302 #BeFairInSSRMurderCase #ArrestMurdererOfSushant #NoCBINoVote #nojusticenovoteforssr,1275576270831542272,puja_ma
29,2020-06-23 23:47:25+00:00,"- they boycotted him and stopped all production of his films. @karanjohar is the elites ‘gay best friend’ and influences a lot of movies, he alongside @BeingSalmanKhan cancelled all but one, of his films which were going to be released and showed his worse film, which Sushant -",1275576222140059649,leylaa_889
30,2020-06-23 23:46:31+00:00,"Sushant Singh Rajput: Boycott Karan Johar, YRF films, Salman Khan - Sign the Petition! http://chng.it/mqt79rS7 via @ChangeOrg_India",1275575999040634880,mittalandco
31,2020-06-23 23:45:37+00:00,Almost all Bollywood actor combined together will never understand what he is talking about. He was a genius. I have a strong feeling after watching this video #sushantsinghrajput can never commit suicide. #CBIenquiryofsushantsinghrajput.,1275575771105562636,IitmGaurav
32,2020-06-23 23:45:33+00:00,- he was already an outsider due to not knowing anyone in the industry as Bollywood is very superficial and nepotism run; you can only get in if you’re connected. He was boycotted by the elite as he was rising up and getting more fans. So what did the elite do? -,1275575755171389440,leylaa_889
33,2020-06-23 23:45:26+00:00,"Sushant Singh Rajput: Boycott Karan Johar, YRF films, Salman Khan - Sign the Petition! http://chng.it/WrFyHmKS via @ChangeOrg_India",1275575722745053184,BashaMuheeb
34,2020-06-23 23:44:59+00:00,"Bevkoof jaisa sawal Kar Diya n tune.....aaj khesari bhaiya ke hi den hai ki... Manoj Tiwari,Pawan Singh,akshara Singh, Gunjan Singh or na Jane kitane log Gaye Sushant Singh Rajput ke Ghar sabase PAHALE Khesari bhaiya hi Gaye the..phir pichhe SE sab log gaye",1275575612502011904,BittuYaduveer
35,2020-06-23 23:44:29+00:00, ,1275575485485903872,artmakeres
36,2020-06-23 23:43:26+00:00,Mahesh Bhatt got badly trolled on Instagram AFTER HE KILLED #SushantSinghRajput! #PublicDemandCBIEnquiryForSSR,1275575222754783234,IshaKaur5
37,2020-06-23 23:43:04+00:00,"@MumbaiPolice Sir, being a fan of demise actor Sushant Singh Rajput, It has left me heartbroken,So wanted to ask u just 1 question, Rather than turning the focus to nepotism, Why is Mahesh bhatt &amp; Rhea Chakraborty not being interrogated properly?Mumbai police ka danda sabpe bhari",1275575128655458304,AnkitaDeyOffic1
38,2020-06-23 23:42:23+00:00,PM Narendra Modi: Was It Really Suicide? Justice for Sushant Singh Rajput - Sign the Petition! http://chng.it/26Wpxbw5 via @Change #CBIEnquiryForSushantSinghRajput #ArrestMurdererOfSushant #BeFairInSSRMurderCase #JusticeForSushantSinghRajput @narendramodi ,1275574958903619584,Tia93967142
39,2020-06-23 23:41:40+00:00,"#BollywoodMafia #ArrestMurdererOfSushant #boycottsalmankhan #BoycottNepotism #BoycottKaranJoharGang #Bollywood #CBIEnquiryForSushantSinghRajput Sushant Singh Rajput suicide case: Salman Khan, Alia Bhatt and Karan Johar films to be banned in Bihar? Find out ",1275574778493992961,Sartaz_Abd17
40,2020-06-23 23:41:26+00:00,"Sushant Singh Rajput - Kendall Jenner Foto untuk Majalah Vogue, Masih Tak Diakui? ",1275574719094370305,keponewsdotcom
41,2020-06-23 23:40:18+00:00,Yes exactly! She was implanted in #SushantSinghRajput's life to destroy his career and gain control over his life. They plotted the depression &amp; haunted house angle to make him look depressed and sick. The antidepressants must also be fake to disguise the murder as a suicide,1275574432933662721,angieksharma9
42,2020-06-23 23:40:09+00:00,#SushantSinghRajput ,1275574395810045954,sunrizetravel
